ct,ID-MGRS,date,,in-prog,in-est,in-cort,,,ct,ID-WMRS,date,in-prog,in-est,in-cort  ,,,ct,ID-PHX-1,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-2,date,ex-prog,ex-est,ex-cort,,ct,ID-PHX-3,date,ex-prog,ex-est,ex-cort
,,,,,,,,,,,,,,,,,76,p,6/22/2015,320.2440945,439.6220472,973.2519685,,76,s,6/22/2015,174.0483871,1101.431452,662.1774194,,76,m,6/22/2015,289.697446,1558.722986,633.5717092
,,,,,,,,,,,,,,,,,77,p,6/23/2015,354.8818898,507.8110236,1843.370079,,77,s,6/23/2015,144.8981289,556.008316,440.6320166,,77,m,6/23/2015,287.4193548,1604.455645,652.233871
,,,,,,,,,,,,,,,,,78,p,6/24/2015,344.526749,892.6584362,1933.530864,,78,s,6/24/2015,.,617.5208333,632.625,,78,m,6/24/2015,233.7380457,892.8066528,468.2494802
,,,,,,,,,,,,,,,,,79,p,6/25/2015,330.9836066,683.5,943.4754098,,79,s,6/25/2015,.,837.7058824,365.5764706,,79,m,6/25/2015,197.4,643.125,550.35
,,,,,,,,,,,,,,,,,80,p,6/26/2015,437.195122,1566.195122,2103.731707,,80,s,6/25/2015,163.1578947,816.1598441,240.5380117,,80,m,6/26/2015,352.8699029,981.4757282,534.8271845
,,,,,,,,,,,,,,,,,81,p,6/27/2015,310.6299213,396.4330709,1021.795276,,81,s,6/26/2015,.,746.0122699,442.6257669,,81,m,6/27/2015,253.5378641,491.0291262,537.6699029
,,,,,,,,,,,,,,,,,82,p,6/28/2015,454.459725,1356.605108,1505.163065,,82,s,6/27/2015,.,573.9183673,141.3795918,,82,m,6/28/2015,223.2982456,944.3664717,565.8479532
,,,,,,,,,,,,,,,,,83,p,6/29/2015,497.28,2492.728,1371.144,,83,s,6/28/2015,254.3510204,963.4897959,598.8,,83,m,6/29/2015,361.5,1248.041667,1585.625
,,,,,,,,,,,,,,,,,,,,,,,,84,s,6/29/2015,176.6627219,962.504931,410.0828402,,84,m,6/30/2015,326.2729124,1617.00611,647.9266802
,,,,,,,,,,,,,,,,,,,,,,,,85,s,6/30/2015,105.4785992,384.4747082,240.4435798,,85,m,7/1/2015,232.9156627,1069.036145,499.3253012
,,,,,,,,,,,,,,,,,,,,,,,,86,s,7/1/2015,110.2282398,882.4758221,310.2823985,,86,m,7/2/2015,414.1082164,788.0160321,503.7354709
,,,,,,,,,,,,,,,,,,,,,,,,87,s,7/2/2015,116.9307692,352.1153846,285.2307692,,87,m,7/3/2015,198.8704062,721.4893617,301.9729207
,,,,,,,,,,,,,,,,,,,,,,,,88,s,7/4/2015,134.0363636,424.4848485,286.1090909,,88,m,7/4/2015,235.4457831,970.9437751,542.8674699
,,,,,,,,,,,,,,,,,,,,,,,,89,s,7/5/2015,116.3346304,482.8988327,258.6536965,,89,m,7/5/2015,162.2535211,386.6197183,280.1287726
,,,,,,,,,,,,,,,,,,,,,,,,90,s,7/6/2015,105.696,413.68,273.6,,90,m,7/6/2015,346.8097166,1270.647773,362.0890688
,,,,,,,,,,,,,,,,,,,,,,,,91,s,7/7/2015,222.7588933,690.5335968,421.1620553,,91,m,7/7/2015,141.1560694,715.6069364,436.6242775
,,,,,,,,,,,,,,,,,,,,,,,,92,s,7/8/2015,111.3609959,593.6307054,413.9253112,,92,m,7/8/2015,138.3083004,457.2529644,465.5573123
,,,,,,,,,,,,,,,,,,,,,,,,93,s,7/9/2015,335.55,1255.125,374.525,,93,m,7/9/2015,279.2470588,584.627451,398.3764706
,,,,,,,,,,,,,,,,,,,,,,,,94,s,7/10/2015,160.6259542,910.3244275,492.5954198,,94,m,7/10/2015,363.5650485,1346.485437,921.4834951
,,,,,,,,,,,,,,,,,,,,,,,,95,s,7/11/2015,310.9727626,2502.529183,1059.945525,,95,m,7/11/2015,295.6985743,943.4419552,568.9368635
,,,,,,,,,,,,,,,,,,,,,,,,96,s,7/12/2015,198.8704062,1121.141199,523.8452611,,96,m,7/12/2015,306,1929.311024,783.7795276
,,,,,,,,,,,,,,,,,,,,,,,,97,s,7/13/2015,206.5846154,1100.75,459.9230769,,97,m,7/13/2015,263.2677165,1307.69685,598.9370079
,,,,,,,,,,,,,,,,,,,,,,,,98,s,7/13/2015,141.0871369,776.6804979,397.0207469,,98,m,7/14/2015,316.368,909.6,737.112
,,,,,,,,,,,,,,,,,,,,,,,,99,s,7/14/2015,118.4538462,804.6346154,506.6538462,,99,m,7/15/2015,270.7080745,878.73706,534.0621118
,,,,,,,,,,,,,,,,,,,,,,,,100,s,7/15/2015,145.2264529,1068.436874,390.3246493,,100,m,7/16/2015,267.4088292,1087.56238,623.5163148
,,,,,,,,,,,,,,,,,,,,,,,,101,s,7/16/2015,230.9182879,1863.463035,668.2412451,,101,m,7/17/2015,265.9591837,1052.959184,1022.595918
,,,,,,,,,,,,,,,,,,,,,,,,102,s,7/17/2015,125.8210736,846.4413519,432.8588469,,102,m,7/18/2015,425.5740365,859.6551724,960.2677485
,,,,,,,,,,,,,,,,,,,,,,,,103,s,7/18/2015,74.75206612,761.1570248,496.0909091,,103,m,7/19/2015,242.1496063,1111.220472,621.2834646
,,,,,,,,,,,,,,,,,,,,,,,,104,s,7/19/2015,195.8951613,891.1491935,604.3064516,,104,m,7/20/2015,284.3927856,985.0701403,764.8016032
,,,,,,,,,,,,,,,,,,,,,,,,105,s,7/20/2015,101.5714286,375.8531746,373.6190476,,105,m,7/21/2015,263.9760956,1112.011952,913.1474104
,,,,,,,,,,,,,,,,,,,,,,,,106,s,7/21/2015,127.0120482,472.248996,446.313253,,106,m,7/22/2015,219.096,1125.96,623.712
,,,,,,,,,,,,,,,,,,,,,,,,107,s,7/22/2015,187.1294118,818.254902,619.4352941,,107,m,7/24/2015,360.809816,873.9263804,1483.141104
,,,,,,,,,,,,,,,,,,,,,,,,108,s,7/23/2015,94.87140115,412.5527831,225.9040307,,108,m,7/25/2015,271.0588235,761.0784314,786.7764706
,,,,,,,,,,,,,,,,,,,,,,,,109,s,7/24/2015,194.3553719,1149.772727,536.107438,,109,m,7/26/2015,175.5449102,1187.245509,682.1796407
,,,,,,,,,,,,,,,,,,,,,,,,110,s,7/25/2015,195.142268,824.185567,467.4309278,,110,m,7/27/2015,337.8886756,668.2341651,907.1861804
,,,,,,,,,,,,,,,,,,,,,,,,111,s,7/26/2015,66.1754386,344.0740741,122.9005848,,111,m,7/28/2015,283.9159664,385.987395,771.8067227
,,,,,,,,,,,,,,,,,,,,,,,,112,s,7/27/2015,127.3846154,625.9038462,310.5,,112,m,7/29/2015,302.4572565,712.2664016,837.5666004
,,,,,,,,,,,,,,,,,,,,,,,,113,s,7/28/2015,86.99396378,350.6639839,77.0945674,,113,m,7/30/2015,283.3454545,1069.010101,917.8424242
