p_date,p_est,p_cort,p_pro,,s_date,s_est,s_cort,s_pro,,m_date,m_est,m_cort,m_pro
,,,,,12-Feb-16,1122.02729,256.0779727,275.7894737,,9-Feb-16,2762.811881,582.7564356,360.7157058
,,,,,13-Feb-16,594.1,149.296,156.456,,10-Feb-16,2058.585462,464.1493124,422.9465347
,,,,,14-Feb-16,250.8571429,84.60408163,91.2,,11-Feb-16,2462.192308,486.7846154,340.762279
,,,,,15-Feb-16,215.86,152.776,77.664,,12-Feb-16,1778.31068,515.4640777,279.6923077
,,,,,16-Feb-16,1651.633858,316.4251969,270.2125984,,13-Feb-16,2588.431772,525.6130346,262.7650485
,,,,,17-Feb-16,251.3193117,103.2887189,100.5659656,,14-Feb-16,857.02,323.256,336.5376782
,,,,,18-Feb-16,1880.082305,348.526749,277.6296296,,15-Feb-16,1532.768031,331.1890838,362.376
,,,,,19-Feb-16,1006.020408,258.4081633,244.7265306,,16-Feb-16,2113.727088,416.3340122,163.3684211
,,,,,21-Feb-16,2296.214575,826.097166,468.8744939,,17-Feb-16,2273.910387,521.7678208,184.5458248
,,,,,22-Feb-16,458.484252,140.4173228,145.5826772,,18-Feb-16,951.2851406,470.9076305,181.0264766
,,,,,23-Feb-16,1734.543726,341.9163498,324.9581749,,19-Feb-16,1472.217742,651.9758065,133.6565657
,,,,,24-Feb-16,2618.590734,616.2857143,371.1891892,,20-Feb-16,158.5686654,81.0754352,380.25
,,,,,25-Feb-16,1541.428571,510.9565217,352.621118,,21-Feb-16,1455.898438,461.3125,73.09090909
,,,,,26-Feb-16,.,.,.,,22-Feb-16,1393.722772,526.4079208,271.8984375
,,,,,27-Feb-16,.,.,.,,23-Feb-16,1310.039216,585.654902,273.8138614
,,,,,28-Feb-16,.,.,.,,24-Feb-16,1149.787645,453.8841699,379.5529412
,,,,,29-Feb-16,715.5918367,380.0571429,321.4285714,,25-Feb-16,1068.822314,696.7107438,243.6602317
,,,,,1-Mar-16,1291.703854,435.148073,399.2129817,,26-Feb-16,724.6850394,374.5748031,286.7355372
,,,,,2-Mar-16,1570.745098,408.4156863,499.6235294,,27-Feb-16,285.5060729,176.3076923,261.496063
,,,,,3-Mar-16,2200.314342,442.2789784,469.2730845,,28-Feb-16,731.9556452,195.0241935,219.8623482
,,,,,4-Mar-16,959.2479675,297.6585366,306.5853659,,29-Feb-16,1724.038462,4021.269231,228.5564516
,,,,,5-Mar-16,2148.511066,430.0523139,482.3420523,,1-Mar-16,466.3600783,4951.726027,254.1686747
,,,,,6-Mar-16,1509.94012,369.7884232,428.8383234,,2-Mar-16,870.1386139,491.3346535,368.8062622
,,,,,7-Mar-16,2637.474542,620.2851324,430.2403259,,3-Mar-16,1016.546906,480.5429142,338.1861386
,,,,,8-Mar-16,1396.22,332.528,421.2,,4-Mar-16,468.5062241,336.3070539,353.1017964
,,,,,9-Mar-16,1218.985507,444.9358178,347.4037267,,5-Mar-16,1413.034623,406.2729124,244.5311203
